Unnamed: 0,date,score,reviews,sentiment
28,2015-08-07 03:02:15,1,내가 뭐했는지 이유나 알자 갑질중에 갑이구만 급하게 예약해아되서 좀 쓸라했더만 이따구 메일이뭐니 번복이고 나발이고 필요없으니 계정 정보만 다 빼가고 사용이 안되니 아주 제대로 털어 가시는구만 에어비앤비는 더 이상 회원님의 계정에 대한 지원을 제공해 드릴 수 없으며 이용 약관에 따라 회원님의 계정을 삭제하기로 결정했다는 안타까운 소식을 알려드립니다 이 결정은 최종 결정으로서 번복될 수 없으며 회원님 소유의 중복 계정 또는 향후에 생성하시는 모든 계정에도 적용될 것입니다 저희는 회원님의 계정에 내린 조치에 대한 사유를 설명할 의무가 없으며 나아가 회원님 계정의 비활성화 또는 삭제에 대한 어떠한 법적 책임도 지지 않습니다 에어비앤비는 이러한 문제에 대한 최종 결정을 내릴 권리를 보유하며 이 결정은 번복되지 않을 것입니다,9
29,2015-08-08 12:29:44,1,웹버전이 백배낫네,7
30,2015-08-08 23:46:54,5,써보면 안다,5
31,2015-08-13 11:49:31,4,미성년자는 부모의 동의가 있어도 못하지만 서비슨 좋다,6
32,2015-08-15 02:00:14,1,요상한 환불 시스템도 문제이나 고객에게 짜증을 내고 언성을 높이는 고객센터 직원들에 대한 개선이 없다면 머지않아 한국서비스는 이용자가 없어 접게 될것,7
33,2015-08-17 19:51:40,1,해외여행가는데 예약해서 결제까지 완료하고 영수증까지 뽑아서 여행갔는데 지들맘대로 결제취소하고 통보도안함 해외까지가서 말도잘안통하는데 당일날급하게방잡느랴고 개고생했음 그래서 계정들어가보니까 계정비활성화래 머하자는건지 사기먹은기분 여기말고딴대써요 에어비앤비때매 해외가서 진심 개고생함,9
34,2015-08-18 06:41:35,1,아무리 찾아도 탈퇴하는게 없음탈퇴요망,9
35,2015-08-18 18:49:25,1,이태원역보광동 bohemian 어쩌구 soock인가뭐라하는 계집애 재수없음,9
36,2015-08-19 08:12:46,3,탈퇴 시켜줘요,9
37,2015-08-20 19:14:59,1,탈퇴하려는데 안되네요,9
38,2015-09-01 13:49:25,5,예약하기,5
39,2015-09-02 20:49:38,5,적극추천드려욤,0
40,2015-09-11 19:31:40,4,에어비앤비 너무 좋아요,0
41,2015-09-12 23:43:49,1,실수로 예약하고 바로 취소햇는데 금액이 지불된건뭔경우죠,9
42,2015-09-19 14:51:07,5,깔끔하네요,0
43,2015-09-19 21:10:24,5,왜 코드오류라고뜨지요 예약이 급한데 10번이나 다시받아서 다시 해봐도 오류라네요 빨리처리해주세요,9
44,2015-09-30 02:37:10,5,개굿씹굿 완전굿,0
45,2015-09-30 15:17:50,3,파생은 선물옵션합성 관심 있으신분 댓글이나 행아웃 주세요,5
46,2015-10-03 10:40:38,5,여행갈때마다 좁은호텔 싫었는데 멋진집을 통채로 저렴하게 빌려서 사용하니까 너무 좋아요,0
47,2015-10-05 11:01:16,1,업데이트중인데 다운이아예안되네요 아 폰을몇번이나키도끄고 짜증나서 안쓸랍니다 최악최악어플,9
48,2015-10-05 21:34:53,5,사용하기 우수한 정보제공,1
49,2015-10-07 23:38:09,1,인증하라고 나오는데 설명은 운전면허증 주민등록증 여권으로 할수있다면서 정작 선택은 여권만 할 수 있게 되어있고 또 신분증의 앞뒷면 각각 찍으라고 하는데 여권에 앞뒷면이 뭡니까 빨리예약해야하는데 계속 오류만나고 한시간째 아무것도 못하고 있습니다 업데이트를 하시려면 제대로하셔야죠저같은 피해자 천명 만명 나오기전에 수습해주십시오 정말 피곤합니다,9
50,2015-10-16 00:45:38,5,즐거움을 함께하는 아름다운세상,0
51,2015-10-25 15:42:41,4,딱 좋다 너무좋다,4
52,2015-11-01 17:35:44,1,어플강제종료 저만 그런건지,9
53,2015-11-02 07:36:32,4,좋은장소 좋은 숙박 안전한시설 굿 굿 굿,0
54,2015-11-07 03:27:59,3,학생이라 신용카드도 없고페이팔은 만드는데 오래걸리고아무리 해외에서 운영하는 사이트라지만 국내에서 이용하는 사람들을 위해 계좌입금도 있어야 할것같네요 그리고 메세지를 모니터링하는것도 좀 어이없구요 일종의 사생활침해라고 생각됩니다,7
55,2015-11-12 22:37:26,5,했었어요,5
56,2015-11-21 13:00:01,4,예약하는것 까지는 좋아요 예약한곳이 좋은지는 다녀와서 후기 남길께요,2
57,2015-11-26 02:18:45,4,전반적으로 만족합니다 다만 화장실에 샤워부스 세면대 좌변기가 모두 포함되어 있는지 여부와 화장실이 방 안에 개별화장실로 있는지 아니면 게스트만 사용하는 화장실이라도 방 밖에 있는지 분류에서 확인 및 선택할 수있으면 좋겠습니다호스트가 글로 설명을 하는 방식이 아니라,5
58,2015-12-01 11:20:50,5,모든걸 다해결주네요 최고에요 불만을 만족으로 바꿔줍니다,1
59,2015-12-04 23:06:20,1,맨날튕겨요 미쳐버리겠어요,9
60,2015-12-06 11:47:17,2,왜안될까여자꾸흰색화면만 나오는데,7
61,2015-12-07 23:19:04,4,좋은데 통화에 한국단위화폐도 넣어주시면 좋을꺼같아요,5
62,2015-12-10 09:09:42,5,잘쓰고가요,1
63,2015-12-11 15:37:05,5,잘사용하고 있어요,1
64,2015-12-11 18:24:36,4,일반 숙소보다 싸고 괜찮네요 후기 많은 분들도 있구 슈퍼호스트라고 나뉘어 있는게 맘에드네요,0
65,2015-12-11 18:25:40,2,호스트인데 어플 로그인하면 게스트기능만 사용가능해요 웹에서의 호스트기능 전혀 사용불가입니다 심지어 메시지 기록 등도 볼 수 없어요,9
66,2015-12-13 02:44:11,1,페이스북으로 로그인할 때 정보제공 나중에하기 누르면 왜 로그인이 안되죠 하,9
67,2015-12-13 17:40:10,5,여행을 자주 다니시는분께는 유용해요,5
68,2015-12-18 21:23:12,1,방이 있다고해서 예약신청하면 그날 방이 남아있지않다면서 거절당하고 이유도 말해주지않고 거절당하고에어비앤비 숙소주인이 예약승인을 해야하는게 진짜별로인듯,9
69,2016-01-05 15:56:13,1,신분증은 왜 올리라고 하는거죠 거기까진 이해한다쳐도 여권 아니면 인증도 안되고 진짜 짜증나요,9
70,2016-01-09 22:25:19,3,업데이트할 때마다 됐다가 안됐다가 하는 듯 새로 설치해도 안돼요,9
71,2016-01-11 09:15:32,2,이름생일메일 적으라고해서 적었는데 다음페이지로 넘어가지않아요,9
72,2016-01-15 10:08:08,1,회원가입창만 뜨고 탈퇴는 없네요 앱만 삭제하면 개인정보가 살아있어 정보유출의 위험성이 있다해서 탈퇴후 앱삭제하려는데 찾을수가 없네요,9
73,2016-01-17 12:33:34,5,호스트랑 연결도 잘되고 깨끗하고 싸고 좋아요,0
74,2016-01-18 14:43:48,5,정말편합니다,0
75,2016-01-22 00:00:29,4,가정숙소들도 있고 편안한 숙소들 위주네요 유용해요,1
76,2016-01-26 00:44:42,1,결제안되고 오류 자꾸뜨고 10번넘게 결제튕겼어요 어떻게 좀해주새요,9
77,2016-01-30 11:02:58,1,왜 계속 예약오류하고하죠 호스트한테 메세지보내려고하는데 보내지지도않고 다음주 여행인데 해결좀 해주세요,9
78,2016-02-02 18:04:26,5,오류뜨는거 어플삭제하고 다시까닌까 잘되네요 현지에가서도 이상없이 잘쓰길 기대할께요 상담원님땡큐,1
79,2016-02-05 11:55:03,1,왜그러죠페이스북로그인 승인됬다는데 메뉴도안뜨고 그래서 네이버로 로그인했더니 계속오류가나요 비번도확실하게 썼는데 왜이러죠,9
80,2016-02-05 19:15:03,5,현지인의 삶으로 들어가서 여행하다 전세계 어디를 가든 필수여행어플,5
81,2016-02-10 23:14:31,5,우와 숙소예약의신세계네요,4
82,2016-02-11 09:58:11,5,현장실속여행,5
83,2016-02-11 12:43:42,1,당장 여행 예약을 해놓은 상태라 들어가야하는데 비밀번호는 아니라고 하고 비밀번호 재설정은 되지도 않아서 미치는 상황입니다,9
84,2016-02-12 09:45:46,3,에어비엔비 자주 사용했었는데 이번에 좀 실망이네요 숙소예약하고 결제까지했는데 호스트분이 예약마감 됐다해서 취소됐나 했는데 오늘 돈이 출금됐더라구요 그래서 예약취소했더니 수수료는 그대로 나가네요,7
85,2016-02-15 13:55:54,1,본 서비스는 여행지의 독특한 숙소를 저렴하게 이용하는 컨셉으로 공유경제에 기반을 두고 시작한 것으로 알고 있습니다 현재 변경된 검색결과 화면모바일은 위치와 가격이 두드러지는데요 이러한 검색결과 화면은 게스트에게는 여행지의 특별한 숙소를 찾는 즐거움보다 가격 위주 시내중심부위주로 소비하게 되고 호스트 입장에서는 계속 가격을 내릴 수 밖에 없게 만드는 디자인입니다 호스트 입장에서 청소비도 안나오는데 계속 해야 하나 하는 의구심이 드네요 가능한 빨리 이전 디자인으로 복구해주시기 바랍니다 디자인 바꿀생각하지 마시고 결재와 인증시스템을 견고하게 만드는데 집중해주세요 제발요,7
86,2016-02-16 15:34:42,1,로그인을 할려고 하는데 오류가 나서 다시 깔고 했는데도 오류가 나네요,9
87,2016-02-17 13:57:39,5,3월달에 여행 예정인데 2월달로 잘못 예약했다가 취소했는데 수수료 및 반액환불로 몇만원이 날아갈뻔했는데 집주인하고 잘얘기하면서 전액환불도 받았답니당 에어비앤비측에 문의했을때 넘나 친절했어요,1
88,2016-02-18 02:16:51,1,로그인 오류요저번에 페이스북으로 로그인해서 잘쓰다가 삭제해버려서 다시깔았는데 페이스북으로 로그인 했더니 이미 되어있다고 뜨고 로그인이 안돼요 어떻게 해야 하나요,9
89,2016-02-18 13:43:07,3,오류창이 뜨면서 결제창으로 넘어가지 않습니다 수정부탁드립니다,5
90,2016-02-19 02:31:37,5,말이 필요 없음,9
91,2016-02-19 09:10:22,4,쉽고편한 앱,5
92,2016-02-27 21:59:55,2,원래 웹으로는 못하는 건가요 에어비앤비 웹으로 접속하면 접속할 때마다 렉 먹어요 크롬인데 완전 마비됩니다 왜이런거죠,9
93,2016-03-05 08:02:31,1,이전버전,5
94,2016-03-06 20:19:34,3,지금까지 별탈없이 잘써왔는데요 6개월달성 파란창이뜨면서 지우려하면 어플전부가 강제종료됩니다 처리해주세요,9
95,2016-03-07 13:01:44,1,앱 업데이트 되고나니 메시지 알림이 또 안옴 숙소 가격은 일정한데 가격이 매번바뀜 누가 개발 총괄하는지는 몰라도 당장 짤라버려야 함,9
96,2016-03-07 15:32:43,1,업뎃 후에 복수계정으로 쓰고 있는데 알림이 전혀 안와요 남편꺼보니 아이폰앱은 잘되는거같던데 안드로이드용은 전혀 안옵니다 게다가 앱 안정성도 강화해야할 듯 걸핏하면 강제종료되네요 메시지쓰다가 강제종료되길 여러번 총괄 누굽니까 빨리 재업 해주세요,9
97,2016-03-08 06:51:34,1,그렇다고 좋아지는 것도 아니면서 수시로 업데이트 하네,9
98,2016-03-08 07:24:10,1,알림기능 체크해도 다시 계속 없어집니다 알림이 안오는데 어떻게 문의에 답변을 주나요,9
99,2016-03-11 09:51:31,3,아시는 분요 회정보를 제출하라는게 몬말이고,9
100,2016-03-11 14:54:47,4,핸드폰으로 코드번호가 안와요,9
101,2016-03-13 15:17:45,4,코드를 입력할수가 없어요,9
102,2016-03-13 22:19:33,1,무슨 핸드폰 코드가 필요하다는데 안오네요 예약 하라는건지 말란건지,9
103,2016-03-13 23:40:49,1,인증 문자가 안 옵니다,9
104,2016-03-24 22:31:25,2,가격필터는 왜 있는거임 인원추가에 따라 가격이 변동되어야되는데 묵묵부답 결제할 때 까지 정확한 가격을 알 수 없음,9
105,2016-03-25 14:17:00,2,웹으로 로그인했었는데 그 이후론 로그인오류라면서 앱사용이안되요지웠다다시깔아도안되요,9
106,2016-03-25 17:07:34,3,업뎃이후 달력에서가격조정하면 알림판으로 되돌아가버리는 현상이 생김,5
107,2016-03-26 01:22:51,1,예약 마감됐대서 요청 취소 잊고 있었는데 갑자기 요청 승인되고 결제됨환불 수수료는 다 가져가고이거 조심하세요,9
108,2016-03-27 12:10:09,1,업데이트하고 나서 정말 최악입니다가격수정도안되게 일부러 막아놓았다고하더군요업데이트해서 여간 불편한게아닙니다,9
109,2016-03-27 20:12:28,1,뒤로가기하면 달력이 안 나오고 첫 화면이 나옵니다 너무 불편하네요 예전에 하던게 훨씬 좋았어요,9
110,2016-03-28 23:17:06,1,로그인도 오류나고 회원가입 다시 할래도 안되고 뭐 이럽니까,9
111,2016-03-29 23:03:35,1,전에 문제 없다가 이전 버젼에는 첨부터 에러로그인 안되고 모든 기능 안됨10번깔았다 지웠다해도 안됨,9
112,2016-04-01 14:38:47,5,오사카 여행에서 잘 이용했습니당 저렴하고 좋아요,1
113,2016-04-22 20:34:14,5,여새시에 많은 도움이 될듯 합니다,1
114,2016-04-23 21:35:06,5,매번 해외든 어디든 갈때마다 꼭 찾아보고갈정도 경비절감도되고 최고임요,0
115,2016-05-02 04:11:57,5,여행 필수 어플이죠,5
116,2016-05-06 18:45:17,5,좋은정보유용하게잘보고있습니다 그런데사용자후기평을한글로번역해서 볼수있게해주시면안뎔까요 그점이조금불편하네요 고맙습니다,1
117,2016-05-12 01:36:43,5,양보단 질이좋은어플 양으로 이것저것있는게 아니라 괜찮은것만 선별한거같음,6
118,2016-05-12 11:25:22,1,정말 위험했던 경험 조금싸게자려다가 식겁햇네,10
119,2016-05-13 03:38:41,1,환불신청하고 약 한달이 되어가는데 계속 시간끌며 환불을 안해줌그리고 893을 결제했는데722만 주겠다는데 그럼 도데체 수수료가 170불이 넘는다는 얘기인지어디 속시원히 통화할연락처도 없고답답함이메일만 계속,9
120,2016-05-18 00:13:35,3,6월여행 룸예약 3월에 결제 완료하고 기다리는중인데 시스템오류인지 검색및 메세지 등 오류가 뜨네요 어떻게 해야하는지,7
121,2016-05-22 03:41:29,5,외국어가 안되는사람은 예약이랑 하기 많이 불편하네요 개선부탁드립니다,9
122,2016-05-22 14:50:26,3,여기나온 돈은 한국돈이나요 달러나요,5
123,2016-05-23 06:06:38,4,호스트검색창도 있었으면 좋겠어요,5
124,2016-05-23 11:53:23,1,쓸데없는 동영상 플래시 플레이해서 데이터 잡아먹고 자꾸 오류나고 통화 변경은 되지도 않고 검색도 제대로 안되고 정말 최악입니다 이전버전 쓰고 싶어요 진심으로 이전버전 설치가능하게 해주세요 너무 안좋아요,9
125,2016-05-24 03:29:37,1,로그인하는데 자꾸 오류떠서 다시가입하려고하는데 이메일주소있다고하고 어쩌라는건지 모르겠네요,9
126,2016-05-25 16:02:04,2,예약 요청에 문제 발생했다는 메시지가 자꾸 뜨면서 본인의 숙소내용 확인이 안됩니다 확인부탁합니다,9
127,2016-05-27 14:39:36,1,친구추천 열심히 홍보했는데 제대로 적립도 안 해주네요,9
128,2016-05-29 02:58:09,1,구글 로그인 은 왜 사라졋나요,9
129,2016-05-30 10:31:54,5,최고입니다,0
130,2016-05-30 11:01:52,5,다양한 숙소가 있어서 좋아요,0
131,2016-05-30 20:10:29,1,업데이트훅완전최악상세옵션추가화면이진행이안됌최악컴퓨터도요즘왜이럼,7
132,2016-06-01 17:04:45,1,모든게 다 불편해짐 가만있음 좋았을텐데 족족 다운그레이드,9
133,2016-06-02 17:09:58,1,계속 동의누르는데도 새창이뜨고 웹에서는 아예 동의가안되네요 도움말센터를갈래도 약관동의하라고뜨는데 뭘 어째야합니까 그리고 고객센터통화하니 한국어가능한직원없다고 어휴,9
134,2016-06-04 08:20:29,5,인터넷 검색하다가 궁금해서 깔았어용 리뷰보고 걱정했는데 아니 어플 잘만되는데 왜들저러지 핸드폰이 후진건가난 잘되는디,9
135,2016-06-05 01:18:08,1,전체 선입금으로 예약했고 사정이생겨 예약취소했는데 4일이 지나도 왜 환불입금이 안되나요 호스트도 메세지 씹고어디에다 연락해야하죠답좀,9
136,2016-06-08 17:20:50,5,값 싸고 질 우수하고 인심 좋구 굿,0
137,2016-06-09 22:47:17,1,아니 결제하기전에 인증부터 하고 하든거 그래야지 결제끝났는데 인증하라고 하면 어떡하냐 그라고 왜 인증이 여권밖에 안돼 앞에는 여권 운전면허증 주민등록증도 됀다면서 할라고 하니까 여권밖에 안돼냐 진짜 이거 고쳐라,9
138,2016-06-14 06:27:40,5,손안에서집을찾을수있어서,0
139,2016-06-14 09:42:40,1,does not connect 연결이 안되요,9
140,2016-06-14 23:45:28,2,업데이트는 진짜 자주하는데 점점 더 사용하기 불편하게 바뀝니다 버그도 많습니다 중요한 예약이나 메세지 들어왔을때 왜 계속 푸시알림이 안 뜨나요 업뎃 후에 세건이나 연거푸 그럽니다 그래서 혹시나해서 이메일체크를 더 자주하게 됩니다 또 왜 앱에서 숙소설명 바꾸면 웹사이트에선 변경한게 안보이나요 고객센터 물어보면 반영하는데 시간이 걸린다고 이틀삼일 넘도록 변경이 안됩니다 그래서 앱에서 바꾸고 웹사이트가서 바꾸고 두번합니다 호환이 안됩니다 그래서 설명바꾼거가 씽크로나이즈가 안돼서 게스트가 오래된 정보로 잘못 이해한적도 있습니다,9
141,2016-06-15 23:10:24,1,국민카드 결제 하려니까 안되네요 결제가 안되는이유도 안알려주고 비자카드가 아니여서 그럴지도 모르겠네요 여기서 예약 하기 힘드실든 쓰잘때없이 이메일 인증이라던가 핸펀 인증이라던가 많고 친구가 페북에 추천해줘서 들어가려는데 오류떠서 계속 페이지 두개 왔다갔다하고괜히 시간버렸네요,9
142,2016-06-17 00:19:42,1,로그인 오류떠요어떻게좀해봐요,9
143,2016-06-19 22:12:50,4,최소 숙박 가능일 하고 청소비 있는지 없는지 검색 가능하게좀,9
144,2016-06-20 09:47:22,3,찜목록볼때마다 오류로 종료되서 불편해요,9
145,2016-06-20 20:29:14,3,여권인증에 관련해서 사진이어떤용도로어떻게사용되는건가요개인정보라걱정이많이되는데요,10
146,2016-06-22 14:12:24,1,화면이 검은색으로 비슷한 위치를 선택하면 올라가기는 하지만 불편합니다 화면이 안보입니다,9
147,2016-06-24 15:36:17,2,좋은점도 있지만오류도 계속나고 뭔가 쉽게쉽게 할수가 없네 화딱지 나려고 함,9
148,2016-06-25 18:33:27,1,작년말까지만해도 좋았는데 지금은 인증하라길래 인증할려하니 여권밖에없고 예약취소 눌렀더니 돈이 돌아오기는 커녕 다시 결제되있어서 전화하니까 이미 환불은 완료됬다고 하고 결제팀에 알아본다는데 본사가 외국이니 시간은 엄청걸리네오,7
149,2016-06-25 20:07:54,1,수수료가 20퍼센트 이상인데다가 잘못가면 주인과 집을 쉐어해야합니다 깨끗하지 않을 수도 있고 약속한 서비스를 제공받기 어려울 수도 있어요,10
150,2016-06-26 11:37:21,1,호스트 사정으로 취소하라길래 취소했더니 패널티를 게스트가 무는 구조는 태어나서 처음 봄 퀄리티나 서비스가 다른 예약 사이트에 비해서 현저하게 비상식적임 개인실과 전체실의 차이 너무 작게 받아들이게 써놓음 개인실은 그냥 방한칸 쓰는 거임,9
151,2016-06-27 12:07:48,1,금요일 여권인증에서 실패되서 호스트 측에서 결제 취소를 해줬고 취소된알았더니 오늘아침에 카드가 긁혔네요 9800원정도 였는데 10만원 이상이 나왔네요 빨리 환불해주세요,9
152,2016-06-28 14:52:02,1,잦은서비스오류예를들면 결제실패라든가 여권인증등이요보안에민감한 이슈들인데 돈은청구되고여권인증은안된다고 계속나오고두 번이용했는데이런문제가 오류가나면 불안해서 다음엔 이용하기가 꺼려지네요,7
153,2016-06-29 16:18:58,4,별다른설명이 필요없을듯,6
154,2016-07-07 20:27:42,3,제가 방을 예약 하고 호스트와 얘기도 끝내도 호스트가 예약을 승인했는데 갑자기 호스트가 이미 방이 나가있었고 왜 자기 어플에 그게 표시된지 모르겠다고 예약을 받아들일 수 없고 예약을 취소해야 한다고 했고 그 결과로 수수료가 발생했습니다 예약번호는 9cdztw입니다,9
155,2016-07-10 11:46:00,1,사라진거같아요 어딜가야 제 여행크래딧을 확인할수있나요,7
156,2016-07-11 19:15:16,1,회원가입하고 로그인하는데 전혀 안돼요,9
157,2016-07-13 17:03:57,1,호스트가 일방적으로 예약취소하면 대책이 없다 특히 성수기때 일방적인 취소를 당하면 난감할듯,10
158,2016-07-17 03:56:52,1,업뎃하면서 무슨 문제가 생긴진 몰라도 집유형 선택이 안되네요 그리고 위치가 왜이렇게 어긋나나요 교토를 검색했는데 교토는 하나도 안뜨고 다 오사카만뜨네요 자유여행이라 날짜선택도 안하고 필터 집전체만해서 걸렸는데 교토에 집이 하나도안떠요 제가 멍청한거 아니구요 같은 필터로 위시리스트서 거르면 잘만뜨는 집들이 왜 그냥 메인에서 검색하면 안뜨나요,9
159,2016-07-17 05:05:51,1,예약에서는 본인인증 따위 얘기안해놓고 결제 다 진행했는데 본인 여권인증 안하면 예약 안된다는 말 같지도 않은 소리를 합니까 이미 결제도 됐는데 여권인증에 실패해서 예약 취소했더니 환불은 50프로라구요 그마저도 언제 환불될지 알 수도 없는게 말이 됩니까 정말 망했으면 좋겠네요 다시는 절대 이용하고 싶지 않아요 정말 비추천합니다,9
160,2016-07-18 20:11:55,4,일본체험근데 고등학생은 안되나,5
161,2016-07-18 23:00:42,4,한국 사이트에서 없는 숙소도 있네요,5
162,2016-07-19 23:05:24,1,여행크레딧 준대서 계속했는데 무슨 얼마이상결제해야된다는 말같지도않은 소리하시는지 모르겠네요 그런거 미리 알려주시던가요 이틀동안 진짜 시간낭비하고 부산에서 진짜 이것때문에 시간낭비만 제대로하고갑니다 그리고 무슨 결제하는것도 불편하게해놓아서 다른어플로 결국 여자세명이서 겨우 숙소잡아서 갔네요 회원가입하면 탈퇴하는건 어딨는지도모르겠고 탈퇴기능이없는것인지 회원가입을 4번이나했네요 진짜 어이가없어서 다시는 이런 제대로 된 설명도 없는 어플 안쓰려구요 환불도 제대로 안해주는 어플같던데 그리고 청소비 서비스수수료 그런건 왜 있는건지도 모르겠네요 그냥 불편하게 이런앱안쓰고 편한거쓰려구요,9
163,2016-07-20 11:32:22,1,업뎃하면서 뭐가 변한건지 집유형을 선택하면 검색이 안되고 제거하고 다시 설치해서 들어가려고하니 로그인오류로 사용도 안되네요,9
164,2016-07-20 11:33:56,1,로그인중 오류가 발생,9
165,2016-07-20 11:41:44,1,목록 제대로 안뜨고 정보 다날라가서 재접속 하려니 로그인 오류만뜸,9
166,2016-07-20 19:20:21,1,예약도 안되고 로그인도 안되고 검색도안되고 용량은크고 설치도 안됨 최악,9
167,2016-07-21 08:33:34,1,로그인도 안되고 연락할 방법도 없고,9
168,2016-07-26 00:53:13,3,비밀전호 재설정 이메일에 있는 링크를 클릭하면 비번 재설정이 아닌 가입화면으로 가요 계속 이러고 있는 중,9
169,2016-07-26 17:59:53,1,앱이 실행시 무한재기동합니다 기종은 g5,5
170,2016-07-26 18:53:25,1,로그인이 안되서 호스트랑 연락을 할수가 없음 픽업오기로했는데 어쩌자는거지,9
171,2016-07-27 16:40:32,1,예약화면을 봐야하는데 아무것도 안되게 생겼네요해결 좀 해주세요,9
172,2016-07-28 13:24:17,1,예약취소하는곳도 안보이고 예약취소 메세지 보냈더니 갑자기 계정보호가 걸려서 airbnb쪽으로 메일 보내니까 확인도 안해주시네요,9
173,2016-07-28 16:07:13,5,설레게해요,0
174,2016-07-29 21:35:03,5,그냥,7
